,datetime,title,link
49,2024-07-24T13:54:04-03:00,Diretoria do Paysandu mantém conversas com Rossi,/noticias/diretoria-do-paysandu-mantem-conversas-com-rossi-397329.html
50,2024-07-24T11:22:01-03:00,Mercado da Bola - Vasco: Rossi,/noticias/mercado-da-bola-vasco-rossi-2-397324.html
51,2024-07-24T11:20:04-03:00,Keiller recebe sondagens de clubes da Série B,/noticias/keiller-recebe-sondagens-de-clubes-da-serie-b-397323.html
52,2024-07-24T09:04:24-03:00,O ambiente em Chapecó para Grêmio x Vasco; vídeo,/noticias/o-ambiente-em-chapeco-para-gremio-x-vasco-video-397320.html
53,2024-07-24T08:34:00-03:00,"Paysandu tenta a contratação de Rossi, diz Agência RTI Esporte",/noticias/paysandu-tenta-a-contratacao-de-rossi-diz-agencia-rti-esporte-397318.html
54,2024-07-24T08:19:48-03:00,O futuro da SAF do Vasco após suspensão de ação na Justiça,/noticias/o-futuro-da-saf-do-vasco-apos-suspensao-de-acao-na-justica-397316.html
55,2024-07-24T08:16:59-03:00,NTV aborda os principais motivos para as lesões no Vasco,/noticias/ntv-aborda-os-principais-motivos-para-as-lesoes-no-vasco-397315.html
56,2024-07-24T08:09:54-03:00,Pedrinho completa 6 meses no Vasco; confira os próximos desafios,/noticias/pedrinho-completa-6-meses-no-vasco-confira-os-proximos-desafios-397313.html
57,2024-07-23T22:10:02-03:00,Souza ainda é dúvida para jogo contra o Grêmio,/noticias/souza-ainda-e-duvida-para-jogo-contra-o-gremio-397308.html
58,2024-07-23T20:03:31-03:00,"Ex-Vasco, Pedro Martins acerta com o Botafogo",/noticias/ex-vasco-pedro-martins-acerta-com-o-botafogo-397306.html
59,2024-07-23T18:42:42-03:00,Vasco encaminha acordo com o Botafogo para que clássico seja no Engenhão,/noticias/vasco-encaminha-acordo-com-o-botafogo-para-que-classico-seja-no-engenhao-397302.html
60,2024-07-23T18:22:48-03:00,Paulinho segue se recuperando da lesão no joelho,/noticias/paulinho-segue-se-recuperando-da-lesao-no-joelho-3-397300.html
61,2024-07-23T18:21:49-03:00,Fotos do treino de hoje (23),/noticias/fotos-do-treino-de-hoje-23-397299.html
62,2024-07-23T16:00:07-03:00,Vasco publica sobre os próximos 3 confrontos do clube,/noticias/vasco-publica-sobre-os-proximos-3-confrontos-do-clube-397293.html
63,2024-07-23T12:29:01-03:00,"Com 'prioridade máxima', Pedrinho só irá atrás de 'nomes pontuais'",/noticias/com-prioridade-maxima-pedrinho-so-ira-atras-de-nomes-pontuais-397282.html
64,2024-07-23T11:46:56-03:00,"Al-Orobah anuncia a contratação de Álvaro Pacheco, ex-Vasco",/noticias/al-orobah-anuncia-a-contratacao-de-alvaro-pacheco-ex-vasco-397281.html
65,2024-07-23T10:49:17-03:00,Paiva faz testes e Pedrinho pode anunciar saídas; veja possíveis nomes,/noticias/paiva-faz-testes-e-pedrinho-pode-anunciar-saidas-veja-possiveis-nomes-397278.html
66,2024-07-23T10:30:20-03:00,Pedrinho tenta solucionar problema no Vasco,/noticias/pedrinho-tenta-solucionar-problema-no-vasco-397276.html
67,2024-07-23T10:19:50-03:00,"Alex Teixeira tem a água cortada, mas consegue liminar para ter o serviço",/noticias/alex-teixeira-tem-a-agua-cortada-mas-consegue-liminar-para-ter-o-servico-397275.html
68,2024-07-22T20:07:55-03:00,AV dá notas para os jogadores do Vasco contra o Atlético-MG,/noticias/av-da-notas-para-os-jogadores-do-vasco-contra-o-atletico-mg-3-397255.html
69,2024-07-22T08:18:50-03:00,Feminino: Meninas da Colina comemoram vitória contra o Paysandu; vídeos,/noticias/feminino-meninas-da-colina-comemoram-vitoria-contra-o-paysandu-videos-397208.html
70,2024-07-21T22:27:42-03:00,Rafael Paiva responde se o gramado influenciou no erro de Praxedes,/noticias/rafael-paiva-responde-se-o-gramado-influenciou-no-erro-de-praxedes-397205.html
